dead_line,name,primary_supervisor,project_description,project_link,supervisor_email
18 July 2022,Tongue strength and dementia,A/Prof Lyn Goldberg,"Tongue strength and movement are critical for efficient chewing, swallowing, and speech production – and thus for assisting people with dementia to be well-nourished, able to communicate and engage socially, and maintain their health and wellbeing. Decreased tongue strength has been associated with both ageing and sarcopenia, a condition of progressive and generalised loss of skeletal muscle mass and strength. In recent years, sarcopenia has been recognised as a serious problem for older adults. This is particularly noteworthy for older adults with dementia.",https://www.utas.edu.au/research/degrees/available-projects/projects/dementia-research/tongue-strength-and-dementia,https://www.utas.edu.au/profiles/staff/health/lyn-goldberg
18 July 2022,Speech movement and dementia risk,A/Prof Lyn Goldberg,"Alzheimer’s disease (AD) accounts for 70% of dementia cases. There are three stages of AD: preclinical AD (pre-AD), Mild Cognitive Impairment (MCI) and dementia. Pre-AD describes a phase where AD pathology progresses, for about 10-15 years, before cognitive signs of dementia appear. There is therefore an urgent, unmet need for low cost, accessible population-level tests to detect AD pathology across this continuum, with a particular focus on pre-AD. Cognitive tests lack sensitivity until the MCI stage. Specialist biomarkers (cerebrospinal fluid and blood tests, brain scans) can detect pre-AD changes, but they are expensive, invasive, and not suitable for population-level screening. Substantial research has documented gait changes in pre-AD, and recently that changes in the speed and variability of repetitive hand movements appear sensitive to pre-AD pathology. Complementing this, changes in the speed, rhythm, and accuracy of lip, tongue, and palatal movements, in isolation and combination (syllabic diadochokinesis [DDK]) may be a biomarker of cognitive decline, with age-related changes in sensory, motor and language systems impairing cognitive processing and task performance. DDK has been used for some time in diagnosing and monitoring functional decline in progressive neurological disorders, such as dementia; however, DDK has never been investigated in pre-AD, nor assessed precisely using computer analysis. Typically, DDK tasks are audio-recorded, then played back for manual and subjective analysis of rate, rhythm, and accuracy. In this project, the student will work with a multidisciplinary team (speech pathologist, neurologist, computer scientist, physiotherapist, general practitioner) to (1) develop an online version of the clinical DDK test, (2) combine DDK analysis with already-developed online analysis of repetitive hand movements, and (3) analyse the performance of adults who do and do not have cognitive difficulties to determine which combinations of hand-speech movement data most accurately detect preclinical AD to provide a more sensitive and inclusive means for detecting early AD pathology.",https://www.utas.edu.au/research/degrees/available-projects/projects/dementia-research/speech-movement-and-dementia-risk,https://www.utas.edu.au/profiles/staff/health/lyn-goldberg
18 July 2022,Saving neurons from neurodegeneration,Dr Rachel Atkinson,"Degeneration of neurons is the key cause of the functional changes in neurodegenerative disease such as those that cause dementia and motor neuron disease, resulting in the loss of the ability to think, speak, walk and swallow. We are investigating causes of neurodegeneration and treatment strategies to protect neurons. There is increasing evidence that different parts of the neuron, for example the cell body and the long processes known as axons, degenerate by different mechanisms. This means that a combination of more than one drug may be needed to protect neurons. This project will investigate whether there are axon-specific alterations in response to disease-related insults, as well as whether we can design combination therapies to protect both the cell bodies and the axons against degeneration. To investigate these aims, we will utilise the mouse visual system. The visual system is an ideal intermediary step between cell culture systems and transgenic animals. This is because neurons in the retina share important features with neurons affected in neurodegenerative diseases, but are much more accessible, and due to the organisation of the system allow axonal alterations to be examined.",https://www.utas.edu.au/research/degrees/available-projects/projects/dementia-research/saving-neurons-from-neurodegeneration,https://www.utas.edu.au/profiles/staff/health/rachel-atkinson
18 July 2022,HLR for Health Professionals,Dr Claire Eccleston,"This is an interdisciplinary College of Health and Medicine project involving representation from all 5 Schools. The research responds to an existing gap in the literature, as little is understood about the health literacy responsiveness (HLR) of health and social care professionals and those studying to join such professions. Understanding the ability of health and social care professionals to respond appropriately to their clients' health literacy needs will be a key step in the challenge to support and improve the health literacy of Tasmanians. Further, understanding the effectiveness of current university education in the development of health literacy responsiveness in future professionals will inform curriculum development and improvements.",https://www.utas.edu.au/research/degrees/available-projects/projects/dementia-research/hlr-for-health-professionals,https://www.utas.edu.au/profiles/staff/health/claire-eccleston
18 July 2022,Healthy ageing in Tasmanian communities,Dr Maree Farrow,"Risk factors for dementia, including smoking, cardiovascular disease, hypertension, high cholesterol, obesity, physical inactivity, and low levels of educational attainment are prevalent in Tasmania, as are low levels of literacy. Tasmania is also the oldest and among the fastest ageing population in the country. Without intervention, Tasmania will face a surge in dementia cases over the coming decades as the population ages particularly in at risk communities. Dementia incidence could be reduced by up to 40% by introducing health and lifestyle changes to reduce risk including more effective management of existing health conditions, improving diet and regular exercise, and maintaining social connections and lifelong learning.",https://www.utas.edu.au/research/degrees/available-projects/projects/dementia-research/healthy-ageing-in-tasmanian-communities,https://www.utas.edu.au/profiles/staff/health/maree-farrow
18 July 2022,Evaluating TBI literacy in TBI MOOC participants,Dr Jenna Ziebell,"Traumatic brain injury (TBI) is often referred to as a silent epidemic and has recently been identified by the Medical Research Future Fund (MRFF) as a national priority. We know TBI occurs in higher rates in regional and remote areas with the outcomes of these individuals often being worse, due to a variety of factors including access to health care, rehabilitation services and general awareness. This project will assess the impact of the TBI massive open online course (MOOC) on awareness and understanding of TBI, to identify gaps in community knowledge that can lead to poor outcomes for individuals living with TBI. We will explore the use of innovative educational tools that include stories of lived experience to broaden Australians’ understanding of TBI. Education will cover the spectrum of injury from mild through to moderate-severe as well as the journey from the initial injury through to moving back into community.",https://www.utas.edu.au/research/degrees/available-projects/projects/dementia-research/evaluating-tbi-literacy-in-tbi-mooc-participants,https://www.utas.edu.au/profiles/staff/health/jenna-ziebell
18 July 2022,Detect cognitive decline in Parkinson's,Associate Professor Jane Alty,"Parkinson's disease (PD) is the fastest growing neurological disorder in the world, with age-standardized prevalence rates increasing by 22% in the last 20 years. Although PD was traditionally considered a pure movement disorder characterised by tremor and slowed walking, it is now recognised that PD has prominent non-movement features too. Specifically, by 15 years post-diagnosis, about 80% of people with PD (pwPD) have developed cognitive decline and 40% have dementia. PD cognitive decline substantially increases the risk of PD dementia but there are no precise low-cost methods to detect early cognitive decline; clinicians rely on insensitive pen-and-paper tests. There is an urgent need to address this gap, to facilitate early recruitment to clinical trials, especially as new evidence shows that lifestyle risk modification reduces PD dementia risk.",https://www.utas.edu.au/research/degrees/available-projects/projects/dementia-research/detect-cognitive-decline-in-parkinsons,https://www.utas.edu.au/profiles/staff/health/jane-alty
18 July 2022,Dementia Care Workforce,Dr Emma Lea,"The aged care workforce is under pressure to care for clients with increasingly complex health conditions and multiple comorbidities, particularly dementia, a global public health issue.  Over half of Australian aged care home residents live with dementia. People living with dementia have high needs for care to support daily living and behaviour. It is vital that aged care staff can provide skilled, informed care to meet these complex needs, yet gaps have been found in staff dementia knowledge.  Therefore, it is important to explore workforce participation in education aiming to enhance dementia knowledge and the impact of such education on both understanding and agency to improve care quality.",https://www.utas.edu.au/research/degrees/available-projects/projects/dementia-research/dementia-care-workforce,https://www.utas.edu.au/profiles/staff/health/emma-lea
18 July 2022,Addressing dementia literacy needs in Tasmania,Dr Kathleen Doherty,"Health literacy is defined as the knowledge and skills needed to find and use information for health decision making. Poor health literacy contributes to poorer health outcomes, and, for Tasmania, this represents a significant challenge where health literacy levels are low.  Dementia is a major health challenge for Tasmania due to the aging population, prevalence of risk factors and poor access to many services. The majority of those living with dementia will continue to live within their communities, supported by family, friends and local services. Improved knowledge and awareness of dementia are fundamental to providing this support. The capacity to translate this knowledge about dementia into changed beliefs, attitudes, decision making and action about assessment, risk, diagnosis, access and use of health services for prevention, caregiving and support for people with dementia is critical. This can be described as dementia literacy.",https://www.utas.edu.au/research/degrees/available-projects/projects/dementia-research/addressing-dementia-literacy-needs-in-tasmania,https://www.utas.edu.au/profiles/staff/health/Kathleen-Doherty
18 July 2022,Wellbeing and the Good Life,Dr Mark Fabian,"The Institute for Social Change is developing an innovative place-based index that will help communities and their decisionmakers understand ‘What makes a good life’.  As the successful candidate, you will:",https://www.utas.edu.au/research/degrees/available-projects/projects/creative-arts-and-media/wellbeing-and-the-good-life,https://www.utas.edu.au/profiles/staff/social-change/mark-fabian
18 July 2022,Social media development and evaluation,Dr Donald Reid,HealthLit4Kids is a University of Tasmania-led initiative responding to a gap in the delivery of health literacy programs for communities and schools.,https://www.utas.edu.au/research/degrees/available-projects/projects/creative-arts-and-media/social-media-development-and-evaluation,https://www.utas.edu.au/profiles/staff/media/donald-reid
18 July 2022,Science in the Crosshairs,Dr Claire Konkes,"Science communication is concerned with the relationships and flows of information between producers of new knowledge and various audiences and stakeholders, such as the public, policy makers and industry. While science is typically associated with objectivity and impartiality, its translation and application by a journalists and other communicators, and their sources, is often less than impartial, especially during debates about environment and sustainability. During these times, activists, industry, government and civic institutions often communicate science in alignment with the logics of a media and communication landscape.",https://www.utas.edu.au/research/degrees/available-projects/projects/creative-arts-and-media/science-in-the-crosshairs,https://www.utas.edu.au/profiles/staff/media/claire-konkes
18 July 2022,"Regional Recovery, Wellbeing and the Good Life",Prof Libby Lester,"The Institute for Social Change is developing an innovative place-based initiative that will help communities and their decisionmakers understand ‘What makes a good life’.  As a successful candidate, you will:","https://www.utas.edu.au/research/degrees/available-projects/projects/creative-arts-and-media/regional-recovery,-wellbeing-and-the-good-life2",https://www.utas.edu.au/profiles/staff/media/libby-lester
18 July 2022,Re-imagining British and Australian Music,A/Prof Anne-Marie Forbes,"This project supports discipline-based and interdisciplinary research in the creative and performing arts, drawing on aspects of Australian and British music and associated creative cultures. Applicants in musicology, performance and music composition are invited to submit a proposal for a specialized music project drawing on the heritage of Australian and British music and seeking new ways to understand, create, and perform including investigations of historical or contemporary performance practice.  Interdisciplinary projects are welcomed, which may include collaborations with other creative arts, humanities, Antarctic studies, social sciences, health, physical sciences or education.",https://www.utas.edu.au/research/degrees/available-projects/projects/creative-arts-and-media/re-imagining-british-and-australian-music,https://www.utas.edu.au/profiles/staff/music/anne-marie-forbes
18 July 2022,Posthumanism at the edge of the world,Dr Toby Juliff,"How might we image and imagine the posthuman on an island that sits on the 42nd southern parallel? Posthumanism at the edge of the world is a visual arts research area that seeks to expand knowledge of the posthuman through critical engagements with interdisciplinary creative speculations, experimental practice-led enquiries, and new discursivities of the more-than-human/human-to-come. This project explores practice-led and practice-based capacities to map and imagine new geographies, developing new possibilities that build on existing relations (e.g. with Antarctica and its Treaty System parties) and contributing to new constellations. Placing posthumanism within these new geographies, ecologies, and politics will demand the asking of essential questions relating to possibilities of place, of peoples, and practices.",https://www.utas.edu.au/research/degrees/available-projects/projects/creative-arts-and-media/posthumanism-at-the-edge-of-the-world,https://www.utas.edu.au/profiles/staff/art/toby-juliff
18 July 2022,Podcasting and health communication,Professor Mia Lindgren,Podcasting is growing fast as a format and platform for audio-based communication. Its close and embodied listening in headphones or earpods provides an intimate space to engage with other people's lived experiences. This project supports interdisciplinary research investigating the role of podcasting in shaping listener engagement with and understanding of health. It can be either a practice-led project comprising a podcast production artefact with exegesis or a written thesis.,https://www.utas.edu.au/research/degrees/available-projects/projects/creative-arts-and-media/podcasting-and-health-communication,https://www.utas.edu.au/profiles/staff/arts-law-education/mia-lindgren
18 July 2022,Podcasting and audio journalism,Professor Mia Lindgren,"Production and consumption of podcasts have grown significantly over the past years. Podcasting is a popular medium for listeners wanting to access journalism at a time and place of their liking. It is a flexible audio medium supporting experimentation, freed from broadcast conventions and limitations set by program schedules. Podcasts can be produced by anyone, resulting in content ranging from episodes with high production values to amateur recordings.",https://www.utas.edu.au/research/degrees/available-projects/projects/creative-arts-and-media/podcasting-and-audio-journalism,https://www.utas.edu.au/profiles/staff/arts-law-education/mia-lindgren
18 July 2022,Music and Media,Dr Matt Boden,"Music and Media explores the various functions of music for established and emergent media, and investigates the nexus of technological innovation and music creation. This project will harness the multidisciplinary strengths of the University of Tasmania's School of Creative Arts and Media, and the state-of-the-art technology of the Hedberg - the University's new performing arts centre. Music for Media affords research potential to those wishing to explore areas such as film music, music for theatre, composition for 3D sound environments - utilising the Hedberg's AFC system, immersive and spatial audio design and composition, and the relationships between sound/music, screen, light, space, and audience experience.",https://www.utas.edu.au/research/degrees/available-projects/projects/creative-arts-and-media/music-and-media,https://www.utas.edu.au/profiles/staff/music/matt-boden
18 July 2022,Media representation and wellbeing,Dr Kathleen Williams,"Media representation of individuals and groups is understood by many to be empowering, and critical to building broader understanding of identities and practices that don't occupy space in mainstream cultural and creative texts. While much of the conversation about representation has typically involved audits of legacy media (in particular television), many argue that although social and participatory media seemed to promise more egalitarian access to representation, it reinforces existing power dynamics.",https://www.utas.edu.au/research/degrees/available-projects/projects/creative-arts-and-media/media-representation-and-wellbeing,https://rmdb.research.utas.edu.au/public/rmdb/q/indiv_detail_warp_trans/38146
18 July 2022,Material Cultures / Making Cultures,Dr Steven Carson,"Material Cultures / Making Cultures is a research area that seeks to expand current knowledge through critical, creative and experimental engagement with materials, methodologies and discourses in contemporary art, craft and design practice. The breadth of this project area permits a range of responses to examine ways that we think about, construct, and consume the materials and objects of everyday life and the natural world, in relation to current, new, and emerging potentials for creative practice in a local and global context. Applicants are encouraged to develop a proposal that aligns with one of following theme areas: Materiality, Material Thinking and Making, Technological and Emergent Materials; Speculative, Experimental, and Bio-Materials; Waste, Salvage and Reclamation of Materials for creative practice; Repair, Lifespan and Re-use and of materials; Ethical Use of materials; Toxicity - Dangerous Materials, Safety, Health and Wellbeing; Ephemerality - Lifespan, Decay and Disposal;  Legacy - Documentation, Archiving and Communication of Ephemeral Projects.",https://www.utas.edu.au/research/degrees/available-projects/projects/creative-arts-and-media/material-cultures-making-cultures,https://www.utas.edu.au/profiles/staff/art/steven-carson
18 July 2022,Humanities-based Health Campaign,Dr Donald Reid,"The past decade has seen a growing awareness of the value of humanities-based approaches in the study of public health. This is manifest in the inclusion of social, cultural and environment factors in understanding health and wellbeing, and a growing emphasis on addressing the social determinants of health and wellbeing to improve outcomes for individuals and communities.  Elsewhere, media studies, notably in relation to analysis of narrative and audience studies, has been engaged in the development of health literacy programs. According to the Primary Health Network’s Needs Assessment Report (2019-2022), Tasmania continues to fall below the rest of Australia in a number of key public health indictors. This recognised need, combined with the state’s stable and predominantly regionally-based population, make the island an ideal location and subject for analysis of rural and public health. This project is designed to be practice-led. The artefact component will be media texts and/or a campaign. This may be situated in digital, social, or legacy media, or a combination of these.The media text/campaign will be co-produced in close consultation with a specific community and address an identifiable need to a specific demographic group. The design of the text/campaign will employ innovative techniques for working alongside communities, employing co-design and health-enabling methodologies.Accompanying the production of the text/s will be an explanatory and analytical exegesis. This will be grounded in public health, community development and media studies theories and seeks to examine and address the recognized socio-economic disparities in engagement in with public health media campaigns.",https://www.utas.edu.au/research/degrees/available-projects/projects/creative-arts-and-media/humanities-based-Health-Campaign,https://www.utas.edu.au/profiles/staff/media/donald-reid
18 July 2022,How sound shapes the Antarctic experience,Dr Carolyn Philpott,"This project aims to investigate the role of sound in shaping human perceptions and experiences of Antarctica. Since the earliest expeditions to Antarctica more than a century ago, environmental sounds have formed important aspects of human interactions with the southern continent. This is evident in the many references to sounds (including those produced by wildlife, wind, ice, and human activity) and silence found in expeditioners' diaries from the Heroic Age (c.1897–1922) and in more contemporary accounts of Antarctic travel.",https://www.utas.edu.au/research/degrees/available-projects/projects/creative-arts-and-media/how-sound-shapes-the-antarctic-experience,https://www.utas.edu.au/profiles/staff/music/carolyn-philpott
18 July 2022,"Communication, environment and conflict",Prof Libby Lester,"Australia will enter its fifth decade as a signatory to the UNESCO World Heritage Convention in the wake of a series of disastrous events from bushfires to coral bleaching that significantly impact its natural and cultural heritage. Meanwhile, the centre of global population and trade continues to shift towards the Asia-Pacific, with increasing demand in the region for resources, food, homes and holidays.","https://www.utas.edu.au/research/degrees/available-projects/projects/creative-arts-and-media/communication,-environment-and-conflict",https://www.utas.edu.au/profiles/staff/media/libby-lester
18 July 2022,Australian Music,A/Prof Maria Grenfell,"Proposals are sought for PhD projects that relate to Australian music composition and composers. Candidates are expected to have a background in composition and/or musicology. The project proposal will comprise works making up a composition portfolio and accompanying exegesis, or a document of original musicological research.",https://www.utas.edu.au/research/degrees/available-projects/projects/creative-arts-and-media/australian-music,https://www.utas.edu.au/profiles/staff/music/maria-grenfell
18 July 2022,Arts for better health and wellbeing,A/Prof Anne-Marie Forbes,"This project supports interdisciplinary research into the potential benefits of the use of creative arts (eg. Music, visual arts, theatre, dance) for health and wellbeing outcomes. Proposals are sought from applicants for the implementation and evaluation of a practical arts-based program using one or more art forms to promote better health and wellbeing outcomes for patients with chronic kidney disease, people in aged care, or in other health related settings in Tasmania.",https://www.utas.edu.au/research/degrees/available-projects/projects/creative-arts-and-media/arts-for-better-health-and-wellbeing,https://www.utas.edu.au/profiles/staff/music/anne-marie-forbes
18 July 2022,Synthetic molecules from natural products,A/Prof Alex Bissember,"This project will develop efficient, scalable syntheses of valuable molecules from natural products extracted/isolated from Tasmanian native plants employing in-house-developed pressurised hot water extraction (PHWE) methodology. Original novel transition-metal-based catalysts will be designed and engineered to establish unprecedented chemical reactions to facilitate this research. In addition to providing enhanced access to bioactive, pharmaceutically-relevant compounds, the results of this project may create new strategies for the rapid and direct synthesis of important classes of molecules. The potential of these processes to establish new modes of small molecule activation and develop novel synthetic methodology will also be explored.",https://www.utas.edu.au/research/degrees/available-projects/projects/chemistry/synthetic-molecules-from-natural-products,https://www.utas.edu.au/profiles/staff/chemistry/alex-bissember
18 July 2022,Synthesis with hypervalent iodines,A/Prof Alireza Ariafard,"The oxidation of readily accessible and inexpensive aromatic compounds by powerful oxidants can result in the generation of valuable dearomatized molecules with a wide range of applications in synthetic chemistry, biology, and pharmaceuticals. However, the most often employed oxidants are extremely hazardous and typically require extreme conditions to facilitate the reactions. These disadvantages significantly restrict the use of such oxidants, particularly on a large scale, and make controlling the oxidative processes difficult, raising the cost of the desired products. To circumvent these disadvantages, one solution is to employ hypervalent iodine oxidants, which are environmentally benign, sustainable, recyclable, and very affordable. However, in most situations, hypervalent iodine reagents are inert towards oxidation of unactivated aromatic compounds, and unique approaches must be developed to activate them for this purpose. The aim of this project is to create such innovative approaches by utilizing our experimental and theoretical expertise to unlock the latent reactivity of hypervalent iodine compounds and to manufacture important dearomatized products at a significantly lower economic and energy cost. In this regard, we discovered a novel mechanism named ""ligand-promoted iodine(V)-mediated oxidation"" (LPIMO) using computational chemistry tools. This mechanism can serve as a foundation for understanding how to activate hypervalent iodine(V) reagents such as DMP and IBX towards the oxidation of nonactivated aromatic compounds. Currently, the approach is confined to the oxidation of electron-rich pyrroles with DMP; however, this study will allow us to use the synergy between experimental and theoretical skills to broaden the scope of the synthetic methods.",https://www.utas.edu.au/research/degrees/available-projects/projects/chemistry/synthesis-with-hypervalent-iodines,https://www.utas.edu.au/profiles/staff/chemistry/Alireza-Ariafard
18 July 2022,Synthesis of small magnetic molecules,Dr Rebecca Fuller,"The development of the next generation of molecular devices for quantum computing, ultra high density storage and spintronics is a rapidly evolving field. Single molecular magnets, based on coordination complexes represent ideal candidates for these applications. This project will develop new strategies to overcome the current limitations in properties.  Specifically, new transition metal and lanthanoid based complexes will be synthesised.  With the focus on ensuring strong magnetic coupling between the metal centres using radical ligands. In addition to synthesising new magnetic molecules this project will also create new strategies for the direct synthesis of specific radical species. Developing new methodology towards improving the accessibility of under-utilised examples.",https://www.utas.edu.au/research/degrees/available-projects/projects/chemistry/synthesis-of-small-magnetic-molecules,https://www.utas.edu.au/profiles/staff/chemistry/rebecca-fuller
18 July 2022,Sustainable Synthesis and Energy Storage,Dr Curtis Ho,"Atmospheric greenhouse gases are one of the major concerns facing the modern world. One strategy to reduce the levels of carbon dioxide (CO2) is to transform it into feedstocks for new materials including energy storage molecules and value-added organic compounds. CO2 is a very stable molecule and requires tailor-designed catalysts for its activation and transformation. Nature employs enzymes (biological catalysts) centred around earth-abundant metals such as iron, nickel and cobalt to achieve similarly challenging chemical transformations with extremely high efficiencies.",https://www.utas.edu.au/research/degrees/available-projects/projects/chemistry/sustainable-synthesis-and-energy-storage,https://www.utas.edu.au/profiles/staff/chemistry/curtis-ho
18 July 2022,Sustainable Materials from Wood-Derived Biopolymers,Dr Stuart Thickett,"The synthesis of polymers has transformed the manufacture of everyday materials through to high performance products over the past century, and represents a commercial enterprise on the order of millions of tonnes per annum within the global economy. The majority of these materials are prepared from small molecule precursors from petroleum and are thus a non-renewable resource. Given the global concern around sustainability and rising levels of plastic waste, alternative approaches to polymer synthesis based on reneweable, bio-derived materials are highly desirable. In this project, the use of biopolymers derived from renewable wood feedstocks  will be explored for the preparation of materials with significant end-use applications, such as surface coatings, adhesives, thin films and absorbents. To achieve this, chemical modification of cellulose and lignin from Eucalyptus Nitens (a significant plantation timber in Tasmania) as well as the incorporation of marine-derived biopolymers will be employed.  The physical and chemical properties of these materials will be evaluated as alternatives to fossil fuel derived polymers.",https://www.utas.edu.au/research/degrees/available-projects/projects/chemistry/sustainable-materials-from-wood-derived-biopolymers,https://www.utas.edu.au/profiles/staff/chemistry/stuart-thickett
18 July 2022,Supramolecular PFAS Detection,Dr Nathan Kilah,"Perfluoroalkyl substances are a group of potentially harmful molecules that have been widely used in firefighting foams, cookware, water resistant clothing, and food packaging. These compounds do not degrade readily, and have a tendency to bioaccumulate.Most of the general public has been exposed to PFAS, and concerningly, high concentrations of these molecules are being found in soil and water sources. PFAS exposure has been associated with a number of cancers, and been linked to low birth weight and diminished organ function. The established methods to identify PFAS are costly and time consuming, requiring large laboratory instrumentation for detection and quantification, and taking days to weeks to obtain results. The work of the Kilah group has identified molecular structures that are able to instantly change colour in the presence of PFAS pollutants, allowing for the rapid and user friendly detection of PFAS at real world concentrations in soil and water. The detection of these pollutants is facilitated by supramolecular interactions between our coloured hosts and the perfluorinated guests. In this project, the candidate will syntheses supramolecular structures that incorporate recognition groups to further explore the detection of PFAS.",https://www.utas.edu.au/research/degrees/available-projects/projects/chemistry/supramolecular-pfas-detection,https://www.utas.edu.au/profiles/staff/chemistry/Nathan-Kilah
18 July 2022,Polymer Inclusion Membranes for Electrokinetic Sampling and Separation,Prof Michael Breadmore,"This proposal aims to understand the chemical and physical properties governing the transport of ions into and within advanced extracting polymeric materials, known as polymer inclusion membranes, under the influence of an applied voltage. These membranes are dry-to-touch and represent a new and potentially powerful analytical platform for environmental, medical and industry sample preparation. By understanding the transport mechanism, new membranes will be developed, capable of purifying and concentrating diverse targets chemicals from liquid and solid samples. These processes can take place during sample transportation to a centralised laboratory thus simplifying and streamlining analysis upon arrival to decrease drastically its costs.",https://www.utas.edu.au/research/degrees/available-projects/projects/chemistry/polymer-inclusion-membranes-for-electrokinetic-sampling-and-separation,https://www.utas.edu.au/profiles/staff/chemistry/michael-breadmore
18 July 2022,Passive samplers from 3D printing,Prof Brett Paull,"The development of functional materials for applications within environmental sample and monitoring possess many technical challenges, including the formulation of appropriately robust functional composites, the control and modification of their surface chemistry to retain target chemicals species, and the design and development of the sampling format/device for future applications. Within this project the focus will be upon the fundamental design and development of such functionalised polymer composite materials (including where possible natural polymers and/or materials from industrial waste residues - e.g. pulp and paper residues, natural extractives and material recycling supplies) and their tailored surface chemistries, for specific environmental applications, most significantly the sampling and monitoring of emerging environmental contaminants in natural water systems (e.g. per- and polyfluorinated substances). Further to this, the project will focus upon modern additive manufacturing processes (e.g. 3D printing) to develop and deliver deployable sampling formats (e.g. porous high-capacity passive samplers) to provide a means to evaluate and characterize each new material/sampler system in real-world applications. The project thus includes a valuable mix of new polymer/composite chemistry development, new manufacturing capability and design skills, with real-world environmental application and potential impact.",https://www.utas.edu.au/research/degrees/available-projects/projects/chemistry/passive-samplers-from-3d-printing,https://www.utas.edu.au/profiles/staff/chemistry/Brett-Paull
18 July 2022,Novel transition metal-based catalysts,A/Prof Alex Bissember,"This project is focused on designing and engineering novel transition metal-based catalysts to establish unprecedented chemical reactions. The potential of these processes to establish new modes of small molecule activation and develop novel synthetic methodology will be explored. The results of this project may lead to the establishment of new strategies for the rapid and direct synthesis of important classes of organic molecules, including natural products and their derivatives.",https://www.utas.edu.au/research/degrees/available-projects/projects/chemistry/novel-transition-metal-based-catalysts,https://www.utas.edu.au/research/degrees/available-projects/accordion-projects/science-technology-and-engineering/area/chemistry/novel-transition-metal-based-catalysts
18 July 2022,Nanocomposites for improved waterways,Dr Rebecca Fuller,"Water contamination is a key environmental concern faced around the world. The introduction of heavy metals from industry as well as the degradation of plastics into tiny particles (1-1000 nanometres) from natural weathering results in species that persist in the environment for hundreds of years. Contamination is not contained to urbanised areas, with these species being detected in some of the most remote parts of the world as well as in our food chain. Their removal is a priority and represents a significant scientific challenge. This project aims to develop new magnetic nanocomposites that can be used in the removal of fragmented microplastics or heavy metals from the environment. Specifically preformed magnetic nanoparticles will be encapsulated with a porous metal-organic frameworks or a polymeric system.  These composites are highly tuneable and combine the functional behaviour of the nanoparticle with the porous behaviour of the encapsulating matrix. Specifically, the magnetisation will provide the mechanism for the separation of the contaminant from the environment, while the coating will be used for the absorption of the pollutant species. Original novel materials will be designed and synthesised, the core shell particles produced will allow the development of materials which are more selective and provide efficient extraction and separation of contaminants from the environment.",https://www.utas.edu.au/research/degrees/available-projects/projects/chemistry/nanocomposites-for-improved-waterways,https://www.utas.edu.au/profiles/staff/chemistry/rebecca-fuller
18 July 2022,Microbiology sensor - microfluidics,Prof Michael Breadmore,"Globally, and particularly in Australia, water supply and water pollution is one of the most critical constraints to our health and growth. This project seeks to validate a new portable remediation system suitable for deployment at regional locations through the integration and development of advanced sensors. We aim to develop the world's first completely integrated platform for monitoring both water chemistry and microbiology to provide near-real-time information regarding the quality of the remediated water. We expect this to improve the availability of regional water resources by providing a low-cost remediation solution with integrated monitoring to provide assurances of meeting the Australian Guidelines for Water Recycling (2006). This HDR project will form part of a team to complete this goal and will focus on developing suitable microfluidics microbial detection.",https://www.utas.edu.au/research/degrees/available-projects/projects/chemistry/microbiology-sensor-microfluidics,https://www.utas.edu.au/profiles/staff/chemistry/michael-breadmore
18 July 2022,Microbiology sensor - chemistry,Prof Michael Breadmore,"Globally, and particularly in Australia, water supply and water pollution is one of the most critical constraints to our health and growth. This project seeks to validate a new portable remediation system suitable for deployment at regional locations through the integration and development of advanced sensors. We aim to develop the world's first completely integrated platform for monitoring both water chemistry and microbiology to provide near-real-time information regarding the quality of the remediated water. We expect this to improve the availability of regional water resources by providing a low-cost remediation solution with integrated monitoring to provide assurances of meeting the Australian Guidelines for Water Recycling (2006).  This HDR project will form part of a team to complete this goal and will focus on developing chemistry for microbial detection.",https://www.utas.edu.au/research/degrees/available-projects/projects/chemistry/microbiology-sensor-chemistry,https://www.utas.edu.au/profiles/staff/chemistry/michael-breadmore
18 July 2022,Micro-electrofluidic platforms,Prof Brett Paull,"The ability to study living cells and human biological models (cell cultures) delivers greater understanding of basic biological function and response to applied (bio)chemical stimuli. Creating the physical environments to sustain biological models, and mimic natural conditions and fluidic pathways, is immensely challenging, yet essential to deliver meaningful observational data. This project will deliver this capability through the convergence of expertise and innovation in analytical chemistry, materials science and cellular biology, ultilising the latest technology and understanding of 3D micro/electrofluidics, to enable the study and stimulation of advanced biological models, sustained within precisely controlled 3D micro-environments.",https://www.utas.edu.au/research/degrees/available-projects/projects/chemistry/micro-electrofluidic-platforms,https://www.utas.edu.au/research/degrees/available-projects/accordion-projects/science-technology-and-engineering/area/chemistry/micro-electrofluidic-platforms
